stock_id,net_buy,date
00712,53852394.0,2026-07-07
2883,25834239.0,2026-07-07
2887,24245917.0,2026-07-07
2618,20690263.0,2026-07-07
2892,19990175.0,2026-07-07
00919,15041004.0,2026-07-07
2834,14638957.0,2026-07-07
2882,13892612.0,2026-07-07
00953B,13673300.0,2026-07-07
2886,12870503.0,2026-07-07
2890,12760682.0,2026-07-07
2884,12437885.0,2026-07-07
1314,9868459.0,2026-07-07
2885,9421737.0,2026-07-07
1718,9403130.0,2026-07-07
5880,7844387.0,2026-07-07
00673R,7738538.0,2026-07-07
2634,7694675.0,2026-07-07
8112,7612123.0,2026-07-07
6770,7141982.0,2026-07-07
2458,7123032.0,2026-07-07
3042,7014110.0,2026-07-07
2812,6910462.0,2026-07-07
2801,6012737.0,2026-07-07
1409,5950557.0,2026-07-07
2105,5536331.0,2026-07-07
2880,5482668.0,2026-07-07
00665L,5374735.0,2026-07-07
00632R,5171449.0,2026-07-07
1609,5151999.0,2026-07-07
2867,5116000.0,2026-07-07
071678,4984000.0,2026-07-07
2889,4971768.0,2026-07-07
071679,4970000.0,2026-07-07
00918,4832717.0,2026-07-07
00402A,4832148.0,2026-07-07
2484,4827720.0,2026-07-07
2327,4610811.0,2026-07-07
5876,4372570.0,2026-07-07
00753L,4337097.0,2026-07-07
1216,4281653.0,2026-07-07
057247,4281000.0,2026-07-07
070395,4238000.0,2026-07-07
1710,3983918.0,2026-07-07
1313,3963365.0,2026-07-07
049909,3898000.0,2026-07-07
1909,3793122.0,2026-07-07
009805,3789568.0,2026-07-07
009819,3775609.0,2026-07-07
070316,3772000.0,2026-07-07
00999A,3703076.0,2026-07-07
00983A,3680473.0,2026-07-07
072228,3367000.0,2026-07-07
2610,3243764.0,2026-07-07
00686R,3127200.0,2026-07-07
071023,3034000.0,2026-07-07
2426,2977602.0,2026-07-07
2332,2959941.0,2026-07-07
071974,2921000.0,2026-07-07
6505,2892314.0,2026-07-07
3413,2858196.0,2026-07-07
2881,2775533.0,2026-07-07
069469,2766000.0,2026-07-07
9945,2715801.0,2026-07-07
2472,2543662.0,2026-07-07
069200,2524000.0,2026-07-07
070769,2498000.0,2026-07-07
2637,2487454.0,2026-07-07
072186,2487000.0,2026-07-07
8016,2473844.0,2026-07-07
00713,2445887.0,2026-07-07
2375,2430556.0,2026-07-07
009813,2404000.0,2026-07-07
2820,2381000.0,2026-07-07
3706,2375379.0,2026-07-07
055067,2369000.0,2026-07-07
072508,2347000.0,2026-07-07
069925,2342000.0,2026-07-07
072735,2333000.0,2026-07-07
074210,2283000.0,2026-07-07
072878,2246000.0,2026-07-07
069379,2191000.0,2026-07-07
00916,2171043.0,2026-07-07
068995,2122000.0,2026-07-07
2855,2116145.0,2026-07-07
00642U,2104075.0,2026-07-07
067748,2081000.0,2026-07-07
069927,2067000.0,2026-07-07
066626,2043000.0,2026-07-07
1477,2021018.0,2026-07-07
070101,2001000.0,2026-07-07
00940,1985718.0,2026-07-07
069110,1979000.0,2026-07-07
1304,1975263.0,2026-07-07
072924,1974000.0,2026-07-07
069877,1954000.0,2026-07-07
2103,1945989.0,2026-07-07
049042,1932000.0,2026-07-07
068910,1923000.0,2026-07-07
00945B,1911472.0,2026-07-07
054242,1898000.0,2026-07-07
052387,1871000.0,2026-07-07
2481,1862655.0,2026-07-07
073523,1829000.0,2026-07-07
074209,1805000.0,2026-07-07
069763,1794000.0,2026-07-07
071172,1789000.0,2026-07-07
00965,1774940.0,2026-07-07
00985B,1769265.0,2026-07-07
4763,1756227.0,2026-07-07
063265,1720000.0,2026-07-07
067590,1717000.0,2026-07-07
072316,1717000.0,2026-07-07
060742,1707000.0,2026-07-07
069707,1681000.0,2026-07-07
00902,1678509.0,2026-07-07
00688L,1665853.0,2026-07-07
2897,1658561.0,2026-07-07
072530,1651000.0,2026-07-07
061904,1638000.0,2026-07-07
2377,1636114.0,2026-07-07
072522,1624000.0,2026-07-07
8046,1614035.0,2026-07-07
3149,1600638.0,2026-07-07
03542T,1597000.0,2026-07-07
062898,1594000.0,2026-07-07
6191,1588712.0,2026-07-07
00939,1574283.0,2026-07-07
00738U,1570767.0,2026-07-07
2646,1562951.0,2026-07-07
2351,1541057.0,2026-07-07
069219,1537000.0,2026-07-07
1476,1531414.0,2026-07-07
067607,1492000.0,2026-07-07
064028,1478000.0,2026-07-07
009824,1454182.0,2026-07-07
1708,1448291.0,2026-07-07
073912,1428000.0,2026-07-07
073899,1427000.0,2026-07-07
03693T,1414000.0,2026-07-07
03326T,1411000.0,2026-07-07
2101,1388774.0,2026-07-07
050284,1385000.0,2026-07-07
066796,1383000.0,2026-07-07
2845,1379800.0,2026-07-07
056701,1357000.0,2026-07-07
072789,1343000.0,2026-07-07
2645,1339157.0,2026-07-07
2542,1312147.0,2026-07-07
