date,stock_id,bracket,holders,shares,pct
20260703,000218,1,0,0,0.0
20260703,000218,2,0,0,0.0
20260703,000218,3,0,0,0.0
20260703,000218,4,0,0,0.0
20260703,000218,5,0,0,0.0
20260703,000218,6,0,0,0.0
20260703,000218,7,0,0,0.0
20260703,000218,8,0,0,0.0
20260703,000218,9,0,0,0.0
20260703,000218,10,0,0,0.0
20260703,000218,11,0,0,0.0
20260703,000218,12,0,0,0.0
20260703,000218,13,0,0,0.0
20260703,000218,14,0,0,0.0
20260703,000218,15,1,422278902,100.0
20260703,000218,16,0,0,0.0
20260703,000218,17,1,422278902,100.0
20260703,000560,1,0,0,0.0
20260703,000560,2,0,0,0.0
20260703,000560,3,0,0,0.0
20260703,000560,4,0,0,0.0
20260703,000560,5,0,0,0.0
20260703,000560,6,0,0,0.0
20260703,000560,7,0,0,0.0
20260703,000560,8,0,0,0.0
20260703,000560,9,0,0,0.0
20260703,000560,10,0,0,0.0
20260703,000560,11,0,0,0.0
20260703,000560,12,0,0,0.0
20260703,000560,13,0,0,0.0
20260703,000560,14,0,0,0.0
20260703,000560,15,1,29700000,100.0
20260703,000560,16,0,0,0.0
20260703,000560,17,1,29700000,100.0
20260703,000708,1,0,0,0.0
20260703,000708,2,0,0,0.0
20260703,000708,3,0,0,0.0
20260703,000708,4,0,0,0.0
20260703,000708,5,0,0,0.0
20260703,000708,6,0,0,0.0
20260703,000708,7,0,0,0.0
20260703,000708,8,0,0,0.0
20260703,000708,9,0,0,0.0
20260703,000708,10,0,0,0.0
20260703,000708,11,0,0,0.0
20260703,000708,12,0,0,0.0
20260703,000708,13,0,0,0.0
20260703,000708,14,0,0,0.0
20260703,000708,15,1,20200000,100.0
20260703,000708,16,0,0,0.0
20260703,000708,17,1,20200000,100.0
20260703,000779,1,0,0,0.0
20260703,000779,2,0,0,0.0
20260703,000779,3,0,0,0.0
20260703,000779,4,0,0,0.0
20260703,000779,5,0,0,0.0
20260703,000779,6,0,0,0.0
20260703,000779,7,0,0,0.0
20260703,000779,8,0,0,0.0
20260703,000779,9,0,0,0.0
20260703,000779,10,0,0,0.0
20260703,000779,11,0,0,0.0
20260703,000779,12,0,0,0.0
20260703,000779,13,0,0,0.0
20260703,000779,14,0,0,0.0
20260703,000779,15,1,1150000000,100.0
20260703,000779,16,0,0,0.0
20260703,000779,17,1,1150000000,100.0
20260703,000815,1,0,0,0.0
20260703,000815,2,0,0,0.0
20260703,000815,3,0,0,0.0
20260703,000815,4,0,0,0.0
20260703,000815,5,0,0,0.0
20260703,000815,6,0,0,0.0
20260703,000815,7,0,0,0.0
20260703,000815,8,0,0,0.0
20260703,000815,9,0,0,0.0
20260703,000815,10,0,0,0.0
20260703,000815,11,0,0,0.0
20260703,000815,12,0,0,0.0
20260703,000815,13,0,0,0.0
20260703,000815,14,0,0,0.0
20260703,000815,15,1,2505407068,100.0
20260703,000815,16,0,0,0.0
20260703,000815,17,1,2505407068,100.0
20260703,000856,1,0,0,0.0
20260703,000856,2,0,0,0.0
20260703,000856,3,0,0,0.0
20260703,000856,4,0,0,0.0
20260703,000856,5,0,0,0.0
20260703,000856,6,0,0,0.0
20260703,000856,7,0,0,0.0
20260703,000856,8,0,0,0.0
20260703,000856,9,0,0,0.0
20260703,000856,10,0,0,0.0
20260703,000856,11,0,0,0.0
20260703,000856,12,0,0,0.0
20260703,000856,13,0,0,0.0
20260703,000856,14,0,0,0.0
20260703,000856,15,1,231800000,100.0
20260703,000856,16,0,0,0.0
20260703,000856,17,1,231800000,100.0
20260703,00400A,1,11641,3247126,0.18
20260703,00400A,2,70307,170570292,9.88
20260703,00400A,3,20725,180949221,10.48
20260703,00400A,4,6020,79762404,4.62
20260703,00400A,5,6181,119030133,6.89
20260703,00400A,6,4891,132196557,7.65
20260703,00400A,7,2136,78687661,4.55
20260703,00400A,8,2417,117047179,6.78
20260703,00400A,9,3212,251133542,14.54
20260703,00400A,10,1174,173402963,10.04
20260703,00400A,11,362,102196426,5.92
20260703,00400A,12,85,41998575,2.43
20260703,00400A,13,32,22365599,1.29
20260703,00400A,14,14,13021000,0.75
20260703,00400A,15,41,240531322,13.93
20260703,00400A,16,0,0,0.0
20260703,00400A,17,129238,1726140000,100.0
20260703,00401A,1,1381,332749,0.13
20260703,00401A,2,10149,24537723,10.14
20260703,00401A,3,3050,27470291,11.35
20260703,00401A,4,613,8235982,3.4
20260703,00401A,5,901,17585474,7.26
20260703,00401A,6,589,16408413,6.78
20260703,00401A,7,215,8002858,3.3
20260703,00401A,8,384,18896005,7.81
20260703,00401A,9,392,32631066,13.48
20260703,00401A,10,106,16637985,6.87
20260703,00401A,11,29,8753000,3.61
20260703,00401A,12,7,3285000,1.35
20260703,00401A,13,1,614000,0.25
20260703,00401A,14,3,2630000,1.08
20260703,00401A,15,14,55874454,23.09
20260703,00401A,16,0,0,0.0
20260703,00401A,17,17834,241895000,100.0
20260703,00402A,1,2172,616019,0.07
20260703,00402A,2,29791,77348061,9.52
20260703,00402A,3,10050,90402087,11.13
20260703,00402A,4,2498,33476888,4.12
20260703,00402A,5,3153,61709757,7.59
20260703,00402A,6,2293,63603900,7.83
20260703,00402A,7,698,26146593,3.21
20260703,00402A,8,1247,61551452,7.57
20260703,00402A,9,1328,111725531,13.75
20260703,00402A,10,458,71551038,8.81
20260703,00402A,11,157,45209004,5.56
20260703,00402A,12,72,36462925,4.48
20260703,00402A,13,13,9415000,1.15
20260703,00402A,14,12,11840000,1.45
20260703,00402A,15,21,111068745,13.67
20260703,00402A,16,0,0,0.0
20260703,00402A,17,53963,812127000,100.0
20260703,00403A,1,58282,16926971,0.1
20260703,00403A,2,503443,1291932370,8.3
20260703,00403A,3,174553,1520876046,9.77
20260703,00403A,4,55550,738087806,4.74
20260703,00403A,5,57709,1113533319,7.15
20260703,00403A,6,46942,1269192449,8.16
20260703,00403A,7,20537,758884849,4.87
20260703,00403A,8,21764,1057358322,6.79
20260703,00403A,9,30314,2362343418,15.18
20260703,00403A,10,11077,1634627430,10.51
20260703,00403A,11,3604,1026129750,6.59
20260703,00403A,12,916,456376937,2.93
20260703,00403A,13,272,194173283,1.24
20260703,00403A,14,230,219139504,1.4
20260703,00403A,15,342,1892938455,12.17
20260703,00403A,16,1,1909,0.0
20260703,00403A,17,985535,15552519000,100.0
20260703,00404A,1,1071,281073,0.08
20260703,00404A,2,13239,34289579,10.49
20260703,00404A,3,4639,42315907,12.94
20260703,00404A,4,992,13392457,4.09
20260703,00404A,5,1492,29288328,8.96
20260703,00404A,6,977,27105879,8.29
20260703,00404A,7,320,11950159,3.65
20260703,00404A,8,574,28270900,8.65
20260703,00404A,9,524,43469999,13.3
20260703,00404A,10,160,25013783,7.65
20260703,00404A,11,40,12197500,3.73
20260703,00404A,12,18,9204000,2.81
20260703,00404A,13,1,620000,0.18
20260703,00404A,14,2,2000000,0.61
20260703,00404A,15,12,47395436,14.5
20260703,00404A,16,0,0,0.0
20260703,00404A,17,24061,326795000,100.0
20260703,00405A,1,5436,1624864,0.06
20260703,00405A,2,68398,180500295,6.82
20260703,00405A,3,26949,237969996,8.99
20260703,00405A,4,8684,116246417,4.39
20260703,00405A,5,9684,187830612,7.09
20260703,00405A,6,7889,215700718,8.15
20260703,00405A,7,3287,121873370,4.6
20260703,00405A,8,4184,204676257,7.73
20260703,00405A,9,5479,435769638,16.47
20260703,00405A,10,1933,289832641,10.95
20260703,00405A,11,671,192052110,7.25
20260703,00405A,12,167,84124000,3.17
20260703,00405A,13,59,42348000,1.6
20260703,00405A,14,40,38420000,1.45
20260703,00405A,15,74,296776082,11.21
20260703,00405A,16,0,0,0.0
20260703,00405A,17,142934,2645745000,100.0
20260703,00406A,1,1350,359791,0.04
20260703,00406A,2,19038,51318073,6.84
20260703,00406A,3,7911,72192179,9.62
20260703,00406A,4,1871,25219974,3.36
20260703,00406A,5,2914,57184086,7.62
20260703,00406A,6,2111,59128642,7.88
20260703,00406A,7,671,25048371,3.33
20260703,00406A,8,1355,66873964,8.91
20260703,00406A,9,1455,120775339,16.1
20260703,00406A,10,515,80426071,10.72
20260703,00406A,11,188,54465283,7.26
20260703,00406A,12,58,28857000,3.84
20260703,00406A,13,10,7030000,0.93
20260703,00406A,14,15,14672011,1.95
20260703,00406A,15,25,86511216,11.53
20260703,00406A,16,0,0,0.0
20260703,00406A,17,39487,750062000,100.0
20260703,00407A,1,6957,1984110,0.07
20260703,00407A,2,78863,203488839,8.09
20260703,00407A,3,27000,238724527,9.5
20260703,00407A,4,7969,107348421,4.27
20260703,00407A,5,9021,175542075,6.98
20260703,00407A,6,6923,189798145,7.55
20260703,00407A,7,2743,102226134,4.06
20260703,00407A,8,3464,169556353,6.74
20260703,00407A,9,4598,367693093,14.63
20260703,00407A,10,1771,265480098,10.56
20260703,00407A,11,585,168941969,6.72
20260703,00407A,12,179,90408105,3.59
20260703,00407A,13,42,29779502,1.18
20260703,00407A,14,43,41313000,1.64
20260703,00407A,15,75,360454629,14.34
20260703,00407A,16,0,0,0.0
20260703,00407A,17,150233,2512739000,100.0
20260703,0050,1,1409008,392551776,1.89
20260703,0050,2,1231519,2792116722,13.45
20260703,0050,3,301316,2218816129,10.69
20260703,0050,4,120492,1492328998,7.19
20260703,0050,5,66067,1168748238,5.63
20260703,0050,6,60633,1496088503,7.2
20260703,0050,7,29310,1026254355,4.94
20260703,0050,8,16206,732833707,3.53
20260703,0050,9,26747,1838909129,8.86
20260703,0050,10,8625,1159719592,5.58
20260703,0050,11,2280,610880956,2.94
20260703,0050,12,413,199179632,0.95
20260703,0050,13,137,94754236,0.45
20260703,0050,14,64,58054776,0.27
20260703,0050,15,246,5473294071,26.37
20260703,0050,16,1,30820,0.0
20260703,0050,17,3273063,20754500000,100.0
20260703,0051,1,8846,1552775,6.33
20260703,0051,2,4378,8706939,35.53
20260703,0051,3,467,3387570,13.82
20260703,0051,4,138,1708214,6.97
20260703,0051,5,76,1358365,5.54
20260703,0051,6,44,1124170,4.58
20260703,0051,7,20,697407,2.84
20260703,0051,8,10,448318,1.82
20260703,0051,9,17,1134841,4.63
20260703,0051,10,3,380000,1.55
20260703,0051,11,2,545903,2.22
20260703,0051,12,2,1128329,4.6
20260703,0051,13,3,2327169,9.49
20260703,0051,14,0,0,0.0
20260703,0051,15,0,0,0.0
20260703,0051,16,0,0,0.0
20260703,0051,17,14006,24500000,100.0
20260703,0052,1,131381,36238193,1.41
20260703,0052,2,245330,523940775,20.45
20260703,0052,3,48632,377531738,14.73
20260703,0052,4,15882,202837059,7.91
